,lat,lng,date,addr,turst
297,42.44594,-83.067931,2008/12/15,20418  NORWOOD,True
298,42.44467,-83.050642,2008/12/15,20241  MOENART,True
299,42.444944,-83.050652,2008/12/15,20271  MOENART,True
300,42.443991,-83.070883,2008/12/15,20221  GALLAGHER,True
301,42.326375,-83.124707,2008/12/15,6829  CLAYTON,True
302,42.325387,-83.118497,2008/12/15,6419  OTIS,True
303,42.404825,-82.931758,2008/12/15,4893  GRAYTON,True
304,42.341128,-83.111971,2008/12/15,4921  28TH,True
305,42.386958,-83.155038,2008/12/15,13501  OHIO,True
306,42.446259,-83.094119,2008/12/15,20486  CAMERON,True
307,42.364871,-83.114048,2008/12/15,8535  DEXTER,True
308,42.356261,-83.113682,2008/12/15,4238  LARCHMONT,True
309,42.355308,-83.112457,2008/12/15,6802  SCOTTEN,True
310,42.405636,-83.131501,2008/12/15,15456  PARKSIDE,True
311,42.444136,-83.09403,2008/12/15,20260  CAMERON,True
312,42.435768,-83.073601,2008/12/15,19323  HARNED,True
313,42.365546,-83.114505,2008/11/15,8630  DEXTER,True
314,42.366666,-83.143475,2008/11/15,9515  PRAIRIE,True
315,42.339066,-83.129368,2008/11/15,6503  GLADYS,True
316,42.305204,-83.117964,2008/11/15,1137  SOLVAY,True
317,42.353579,-83.117946,2008/11/15,4719  TIREMAN,True
318,42.354767,-83.095434,2008/11/15,5758  LINWOOD,True
319,42.345561,-83.11325,2008/11/15,5361  LOVETT,True
320,42.339719,-83.127706,2008/11/15,6351  GLADYS,True
321,42.354538,-83.115377,2008/11/15,4428  TIREMAN,True
322,42.336333,-83.129913,2008/11/15,5239  DANIELS,True
323,42.345464,-83.113182,2008/11/15,5353  LOVETT,True
324,42.333159,-83.139038,2008/11/15,5095  CENTRAL,True
325,42.333922,-83.137582,2008/11/15,5263  PROCTOR,True
326,42.416722,-83.238263,2008/11/15,17223  EVERGREEN,True
327,42.354602,-83.115207,2008/11/15,4406  TIREMAN,True
328,42.381942,-83.067189,2008/11/15,8447  CAMERON,True
329,42.356338,-83.096418,2008/11/15,6021  LINWOOD,True
330,42.338261,-83.128895,2008/11/15,6509  DEVEREAUX,True
331,42.338407,-83.131506,2008/11/15,5501  DANIELS,True
332,42.336002,-83.136884,2008/11/15,5453  CHOPIN,True
333,42.357906,-83.097827,2008/11/15,6144  LINWOOD,True
334,,,2008/11/15,6450 W EDSEL FORD,True
335,42.345949,-83.114582,2008/11/15,4433  MCGRAW,True
336,42.334807,-83.13927,2008/11/15,5468  FLORIDA,True
337,42.352094,-83.110253,2008/11/15,1830 W GRAND BLVD,True
338,42.378235,-83.236552,2008/11/15,12400  EVERGREEN,True
339,42.364899,-83.114067,2008/11/15,8538  DEXTER,True
340,42.366566,-83.144499,2008/11/15,9511  AMERICAN,True
341,42.335519,-83.136533,2008/11/15,5416  CHOPIN,True
342,42.363493,-83.113115,2008/11/15,8340  DEXTER,True
343,42.333608,-83.15139,2008/11/15,5746  LAWNDALE,True
344,42.337978,-83.131179,2008/11/15,5443  DANIELS,True
345,42.359825,-83.109927,2008/11/15,3359  HOGARTH,True
346,42.31099952,-83.13176386,2008/10/15,2416  WENDELL,True
347,42.31099952,-83.13176386,2008/10/15,2416  WENDELL,True
348,42.30805189,-83.10798227,2008/10/15,1057  CASGRAIN,True
349,42.3347499,-83.13917843,2008/10/15,5454  FLORIDA,True
350,42.33987496,-83.12741626,2008/10/15,6340  GLADYS,True
351,42.33300989,-83.14130903,2008/10/15,5141  SPRINGWELLS,True
352,42.31382043,-83.12928467,2008/10/15,2559  CARSON,True
353,42.33987496,-83.12741626,2008/10/15,6340  GLADYS,True
354,42.33300989,-83.14130903,2008/10/15,5141  SPRINGWELLS,True
355,42.31382043,-83.12928467,2008/10/15,2559  CARSON,True
356,42.3347499,-83.13917843,2008/10/15,5454  FLORIDA,True
357,42.30805189,-83.10798227,2008/10/15,1057  CASGRAIN,True
358,42.33423782,-83.14085637,2008/10/15,5474  CASPER,True
359,42.37269051,-83.12151122,2008/10/15,9709  MCQUADE,True
360,42.36042226,-83.11107054,2008/10/15,7713  DEXTER,True
361,42.31023171,-83.13129253,2008/10/15,2333  WENDELL,True
362,42.33417634,-83.14207308,2008/10/15,5444  SPRINGWELLS,True
363,42.33330866,-83.14152646,2008/10/15,5163  SPRINGWELLS,True
364,42.36936359,-83.13209275,2008/10/15,9700  NARDIN,True
365,42.31023171,-83.13129253,2008/10/15,2333  WENDELL,True
366,42.36042226,-83.11107054,2008/10/15,7713  DEXTER,True
367,42.36936359,-83.13209275,2008/10/15,9700  NARDIN,True
368,42.33423782,-83.14085637,2008/10/15,5474  CASPER,True
369,42.33410731,-83.142023,2008/10/15,5424  SPRINGWELLS,True
370,42.33924835,-83.12879084,2008/10/15,6457  GLADYS,True
371,42.31226773,-83.12098712,2008/10/15,7301  SENATOR,True
372,42.30962562,-83.11894736,2008/10/15,7282  LANE,True
373,42.3689691,-83.13179052,2008/10/15,9666  NARDIN,True
374,42.33189654,-83.15010083,2008/10/15,5609  LAWNDALE,True
375,42.30972537,-83.13304589,2008/10/15,2350  LAWNDALE,True
376,42.33330866,-83.14152646,2008/10/15,5163  SPRINGWELLS,True
377,42.33189654,-83.15010083,2008/10/15,5609  LAWNDALE,True
378,42.3689691,-83.13179052,2008/10/15,9666  NARDIN,True
379,42.30962562,-83.11894736,2008/10/15,7282  LANE,True
380,42.33417634,-83.14207308,2008/10/15,5444  SPRINGWELLS,True
381,42.37269051,-83.12151122,2008/10/15,9709  MCQUADE,True
382,42.31226773,-83.12098712,2008/10/15,7301  SENATOR,True
383,42.33924835,-83.12879084,2008/10/15,6457  GLADYS,True
384,42.33410731,-83.142023,2008/10/15,5424  SPRINGWELLS,True
385,42.30972537,-83.13304589,2008/10/15,2350  LAWNDALE,True
386,42.35512314,-83.00991289,2008/7/15,2141  CANTON,True
387,42.35090973,-83.23938826,2008/7/15,8067  STOUT,True
388,42.38949192,-83.00924187,2008/7/15,18090  JAMES COUZENS,True
389,42.35532395,-83.02366974,2008/7/15,3381  CHARLEVOIX,True
390,42.41150432,-83.05800107,2008/7/15,3826  CHARLES,True
391,42.36140358,-83.00937165,2008/7/15,3057  FIELD,True
392,42.35515993,-83.01112977,2008/7/15,2199  CONCORD,True
393,42.35744382,-83.01266566,2008/7/15,2471  CONCORD,True
394,42.35714612,-83.02087184,2008/7/15,3670  ARNDT,True
395,42.36058879,-83.02595347,2008/7/15,3462  PULFORD,True
396,42.41448937,-83.04853093,2008/7/15,13276  BLOOM,True
397,42.41417052,-83.04761052,2008/7/15,13223  BUFFALO,True
398,42.41711116,-83.14569818,2008/7/15,7429 W MCNICHOLS,True
399,42.36156037,-83.00801708,2008/7/15,2992  SHERIDAN,True
400,42.35097601,-83.23939084,2008/7/15,8075  STOUT,True
401,42.42277705,-83.24275937,2008/7/15,18227  STOUT,True
402,42.35084346,-83.23938568,2008/7/15,8059  STOUT,True
403,42.36193767,-83.00601658,2008/7/15,2927  BALDWIN,True
404,42.41429883,-83.04754097,2008/7/15,13242  BUFFALO,True
405,42.41433589,-83.0476151,2008/7/15,13249  BUFFALO,True
406,42.40536287,-83.06775297,2008/7/15,12230  ARLINGTON,True
407,42.42327597,-82.95874479,2008/7/15,11936  RIAD,True
408,42.40648533,-82.96334454,2008/7/15,9157  PHILIP,True
409,42.35090973,-83.23938826,2008/7/15,8067  STOUT,True
410,42.35069434,-83.23937988,2008/7/15,8041  STOUT,True
411,42.35104228,-83.23939342,2008/7/15,8083  STOUT,True
412,42.42514439,-83.25425092,2008/7/15,21483  MARGARETA,True
413,42.35532395,-83.02366974,2008/7/15,3381  CHARLEVOIX,True
414,42.41150432,-83.05800107,2008/7/15,3826  CHARLES,True
415,42.35084346,-83.23938568,2008/7/15,8059  STOUT,True
416,42.36251075,-83.00632268,2008/7/15,3058  BALDWIN,True
417,42.35760923,-83.0053701,2008/7/15,2242  SHERIDAN,True
418,42.40796449,-83.14058779,2008/7/15,15829  LIVERNOIS,True
419,42.43323222,-83.25356505,2008/7/15,19436  BENTLER,True
420,42.35069434,-83.23937988,2008/7/15,8041  STOUT,True
421,42.35104228,-83.23939342,2008/7/15,8083  STOUT,True
422,42.42514439,-83.25425092,2008/7/15,21483  MARGARETA,True
423,42.34135189,-83.08069397,2008/7/15,3739  WABASH,True
424,42.34135189,-83.08069397,2008/7/15,3739  WABASH,True
425,42.36251075,-83.00632268,2008/7/15,3058  BALDWIN,True
426,42.38949192,-83.00924187,2008/7/15,18090  JAMES COUZENS,True
427,42.43323222,-83.25356505,2008/7/15,19436  BENTLER,True
428,42.40796449,-83.14058779,2008/7/15,15829  LIVERNOIS,True
429,42.35760923,-83.0053701,2008/7/15,2242  SHERIDAN,True
430,42.36058879,-83.02595347,2008/7/15,3462  PULFORD,True
431,42.35714612,-83.02087184,2008/7/15,3670  ARNDT,True
432,42.35512314,-83.00991289,2008/7/15,2141  CANTON,True
433,42.35744382,-83.01266566,2008/7/15,2471  CONCORD,True
434,42.35515993,-83.01112977,2008/7/15,2199  CONCORD,True
